ts,idx,r_face,g_face,b_face,conf,r_combined,g_combined,b_combined
0.04055366598186083,0,132.2027749928543,84.97615299458668,53.66099412820449,0.0,132.2027749928543,84.97615299458668,53.66099412820449
0.3446563750039786,1,153.85405817296368,103.570024378269,70.60232061822609,0.0,153.85405817296368,103.570024378269,70.60232061822609
0.4411764579999726,2,155.50822416893396,107.00098237281476,74.00996040610438,0.0,155.50822416893396,107.00098237281476,74.00996040610438
0.5417873330006842,3,155.970087332361,106.53317503231239,72.3912480879371,0.0,155.970087332361,106.53317503231239,72.3912480879371
0.6420807499962393,4,157.88507126241637,107.40909111360743,73.53865628013637,0.0,157.88507126241637,107.40909111360743,73.53865628013637
0.7418267909961287,5,159.5286349690521,107.90710585191296,73.5729248882849,0.0,159.5286349690521,107.90710585191296,73.5729248882849
0.8431766249996144,6,157.38442482919945,105.80227506497323,72.02473658197017,0.0,157.38442482919945,105.80227506497323,72.02473658197017
0.9451002499845345,7,156.3124050318886,104.71008902822058,70.97516690022607,0.0,156.3124050318886,104.71008902822058,70.97516690022607
1.045046540995827,8,154.73281736760126,103.05930655857642,69.22575787076372,0.0,154.73281736760126,103.05930655857642,69.22575787076372
1.1446584579825867,9,156.29508172058542,104.03139442518776,69.8979831624302,0.0,156.29508172058542,104.03139442518776,69.8979831624302
1.2446104160044342,10,157.59965792337604,105.39622276653346,70.75369133955527,0.0,157.59965792337604,105.39622276653346,70.75369133955527
1.3428217500040773,11,160.57061509948807,106.65551349850286,70.99776785714286,0.0,160.57061509948807,106.65551349850286,70.99776785714286
1.4441102079872508,12,163.58613409064841,107.06692416671916,70.41217778165482,0.0,163.58613409064841,107.06692416671916,70.41217778165482
4.246063333004713,95,191.75417571795325,130.16994418517632,87.7368284291817,0.0,191.75417571795325,130.16994418517632,87.7368284291817
4.3466893330041785,96,171.7933832783226,119.00923705269157,87.02961674542303,0.0,171.7933832783226,119.00923705269157,87.02961674542303
4.4126859579992015,97,169.3008468569081,116.07990024042982,83.98540350836586,0.0,169.3008468569081,116.07990024042982,83.98540350836586
4.480807582993293,98,164.50008876477813,113.08970520497466,81.43790543912175,0.0,164.50008876477813,113.08970520497466,81.43790543912175
4.578523040981963,99,161.29306579281294,114.30245762099621,85.02965557739367,0.0,161.29306579281294,114.30245762099621,85.02965557739367
4.67860354098957,100,154.86734770784525,109.50584265499288,80.42702098394015,0.0,154.86734770784525,109.50584265499288,80.42702098394015
4.778908332984429,101,148.44425275630613,105.9263370893304,79.98648125143659,0.0,148.44425275630613,105.9263370893304,79.98648125143659
4.880157999985386,102,142.63120193231617,96.77603772186654,68.20121008411806,0.0,142.63120193231617,96.77603772186654,68.20121008411806
4.979896790988278,103,139.85590375772847,94.42656301362149,64.72124865598967,0.0,139.85590375772847,94.42656301362149,64.72124865598967
5.079840457998216,104,135.18977636690315,90.16257110595053,61.55122682176819,0.0,135.18977636690315,90.16257110595053,61.55122682176819
5.178547957999399,105,131.65535697339703,86.33450669028564,58.03272451206782,0.0,131.65535697339703,86.33450669028564,58.03272451206782
5.280393249995541,106,125.44618399228737,83.8932618569729,57.81484179210759,0.0,125.44618399228737,83.8932618569729,57.81484179210759
5.413324833003571,108,118.40290167061978,77.84760321061496,51.65594599704376,0.0,118.40290167061978,77.84760321061496,51.65594599704376
5.54632662498625,110,125.2328046736846,83.16737339789586,55.97885670021326,0.0,125.2328046736846,83.16737339789586,55.97885670021326
5.646360207989346,111,128.36455113910242,85.3594773422111,58.70691067148583,0.0,128.36455113910242,85.3594773422111,58.70691067148583
5.745971083000768,112,128.45224900702775,85.05039800840999,58.80397698817539,0.0,128.45224900702775,85.05039800840999,58.80397698817539
